@relation dataPlaneAddExpStyle1driftSev3Sp2Train

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute class {0,1}

@data

0.025818,0.920968,0.700791,0.190091,0.867342,0.41847,0.231936,0.156169,0.738506,0.067257,1.921504,1
0.94272,0.289846,0.435671,0.323429,0.863741,0.89207,0.016663,0.056176,0.145756,0.721644,3.364773,0
0.346533,0.172237,0.786673,0.608736,0.022161,0.466226,0.867701,0.453595,0.571894,0.821458,1.193928,0
0.268741,0.724776,0.316487,0.20237,0.235215,0.252197,0.670249,0.880813,0.831115,0.54405,4.280015,0
0.84263,0.08405,0.625771,0.332757,0.640764,0.315761,0.003526,0.257903,0.570571,0.589372,2.896838,0
0.431773,0.806426,0.604791,0.724299,0.28754,0.690119,0.82486,0.420259,0.285664,0.154906,2.56027,0
0.092851,0.541998,0.355771,0.438786,0.680328,0.279625,0.665727,0.879755,0.050386,0.843168,0.622541,1
0.607913,0.197373,0.250352,0.669179,0.890511,0.811341,0.213238,0.888053,0.51487,0.41954,1.007301,0
0.943115,0.937188,0.319106,0.215046,0.27059,0.8107,0.439489,0.495047,0.250758,0.482534,4.767538,0
0.603053,0.506686,0.865324,0.499956,0.76881,0.384836,0.939366,0.92345,0.421694,0.409579,3.930816,0
0.04553,0.21434,0.414157,0.743157,0.246315,0.816091,0.048716,0.766554,0.464887,0.362069,1.42703,1
0.817705,0.163696,0.246607,0.729189,0.473676,0.074825,0.589004,0.388561,0.542134,0.640069,3.180436,0
0.716928,0.41093,0.504845,0.935387,0.05661,0.44581,0.725072,0.292837,0.715734,0.3457,0.933397,0
0.521554,0.765685,0.868067,0.601083,0.399876,0.712357,0.579009,0.409452,0.66229,0.10981,2.878174,0
0.693257,0.566872,0.416084,0.130411,0.81504,0.383716,0.114944,0.869292,0.186852,0.427869,0.958871,0
0.148859,0.868923,0.980722,0.98724,0.550196,0.143196,0.703301,0.382025,0.688609,0.443608,3.585927,0
0.734757,0.055123,0.452135,0.036344,0.828696,0.887784,0.984913,0.426998,0.551737,0.036207,2.654016,0
0.209345,0.461868,0.620414,0.295927,0.648468,0.808081,0.41869,0.923447,0.37393,0.634457,1.634409,0
0.903774,0.73589,0.106243,0.629865,0.134948,0.070127,0.617972,0.253375,0.466769,0.980561,1.459077,0
0.541346,0.403417,0.221916,0.747158,0.48796,0.13665,0.672102,0.014697,0.017682,0.186141,2.397772,0
0.870599,0.149202,0.637418,0.091313,0.690412,0.757781,0.030436,0.542217,0.039807,0.037959,4.865987,1
0.528375,0.392489,0.566903,0.939175,0.721557,0.20796,0.182583,0.678791,0.444428,0.507866,3.544751,0
0.325651,0.217945,0.997276,0.212781,0.218079,0.246347,0.358498,0.275123,0.993408,0.21228,3.977287,0
0.251814,0.244831,0.882899,0.884014,0.620342,0.085157,0.226491,0.642316,0.408681,0.70075,2.559839,0
0.644151,0.239723,0.032606,0.006117,0.800847,0.83944,0.472043,0.62634,0.889184,0.514665,4.862272,0
0.040362,0.356981,0.779833,0.653224,0.736223,0.704602,0.240479,0.73402,0.682494,0.678238,0.692694,1
0.421639,0.489831,0.596838,0.06367,0.109487,0.141184,0.878539,0.610062,0.31343,0.814398,2.960577,0
0.684243,0.069439,0.068896,0.937848,0.405808,0.409587,0.924721,0.790531,0.450964,0.356093,4.271643,0
0.69975,0.693977,0.669663,0.030122,0.267917,0.882848,0.032857,0.228192,0.228341,0.731394,2.707057,0
0.502372,0.363514,0.579685,0.763534,0.713825,0.264168,0.878572,0.164631,0.94956,0.251924,0.409067,1
0.037919,0.298423,0.603357,0.61282,0.669829,0.8135,0.49843,0.115239,0.824424,0.101273,0.461631,0
0.725749,0.668183,0.15544,0.479719,0.642025,0.521512,0.060482,0.524129,0.027921,0.271089,0.938312,0
0.042566,0.407264,0.878112,0.427866,0.137553,0.855062,0.03525,0.452608,0.97582,0.600953,1.090477,0
0.528543,0.216525,0.136225,0.541215,0.20056,0.806839,0.539541,0.069928,0.273404,0.105763,2.773749,0
0.681284,0.343976,0.208906,0.074856,0.100621,0.14531,0.217651,0.057843,0.163164,0.297898,3.822684,0
0.570252,0.220733,0.865911,0.360117,0.492731,0.328478,0.729172,0.186245,0.218018,0.227941,0.019079,1
0.132572,0.144992,0.875512,0.731336,0.57113,0.973549,0.43809,0.97093,0.412508,0.029741,4.304143,0
0.946434,0.713421,0.463093,0.198365,0.91767,0.278169,0.186449,0.64369,0.501651,0.253788,2.115833,0
0.159712,0.282001,0.583255,0.767485,0.124051,0.930879,0.281766,0.63331,0.040423,0.384755,2.926238,0
0.255345,0.588848,0.763753,0.398746,0.727111,0.554843,0.240845,0.87902,0.681459,0.286644,3.140103,0
0.142369,0.798324,0.429973,0.557955,0.551272,0.223518,0.670714,0.685253,0.050375,0.660133,4.251284,1
0.266243,0.746738,0.422971,0.870688,0.658071,0.202208,0.508195,0.225296,0.551784,0.828846,2.074554,0
0.405166,0.629929,0.220685,0.0444,0.233109,0.868876,0.20008,0.750562,0.697334,0.085788,4.176027,0
0.297984,0.223364,0.082424,0.297185,0.791851,0.640404,0.266103,0.397896,0.433531,0.356996,0.195642,1
0.631683,0.696153,0.242122,0.351822,0.070823,0.317674,0.145172,0.907761,0.731975,0.297161,1.903307,0
0.776553,0.51808,0.378615,0.375645,0.460306,0.362037,0.758323,0.142287,0.412063,0.536173,2.270253,0
0.229354,0.761057,0.086917,0.813517,0.779671,0.925656,0.501678,0.693763,0.083003,0.02411,1.082334,0
0.159041,0.996063,0.831241,0.668667,0.287812,0.263841,0.376713,0.414944,0.96411,0.795683,0.207925,1
0.919522,0.403671,0.496045,0.032481,0.910911,0.688046,0.98303,0.786576,0.976445,0.106453,0.767067,1
0.420237,0.920259,0.787116,0.055166,0.176841,0.17245,0.37032,0.9727,0.165563,0.609733,3.945544,0
0.55126,0.019391,0.902123,0.98724,0.537635,0.025047,0.956759,0.248563,0.597192,0.014114,1.052882,1
0.156886,0.784392,0.270037,0.515509,0.165418,0.188403,0.496675,0.621074,0.382926,0.841446,0.876072,0
0.827226,0.180077,0.555425,0.025724,0.340957,0.457507,0.320831,0.202759,0.77028,0.094523,3.239571,0
0.49287,0.670957,0.77839,0.39281,0.954403,0.658702,0.802039,0.868473,0.427939,0.365557,4.616244,0
0.043935,0.410207,0.351973,0.611043,0.800647,0.475808,0.898379,0.059756,0.318186,0.745835,1.277179,0
0.111116,0.521236,0.41194,0.471021,0.446356,0.897382,0.292096,0.263214,0.834061,0.069746,1.069757,0
0.879773,0.344619,0.006313,0.106596,0.559623,0.581664,0.020962,0.311526,0.809541,0.959719,4.963304,0
0.648657,0.973378,0.561727,0.939956,0.833285,0.015956,0.1802,0.628356,0.78198,0.74462,4.123495,0
0.715168,0.827646,0.242554,0.597756,0.490446,0.926754,0.948712,0.995777,0.029208,0.896458,3.87334,0
0.843747,0.850087,0.40803,0.751895,0.092489,0.466559,0.464667,0.650483,0.673219,0.794102,2.332415,0
0.17917,0.305705,0.987838,0.592633,0.382204,0.694897,0.133403,0.100363,0.799381,0.204659,3.558326,1
0.955458,0.380333,0.261083,0.02418,0.395509,0.326824,0.937852,0.473615,0.052983,0.489233,2.676369,0
0.346309,0.418483,0.448883,0.383657,0.118037,0.848914,0.692122,0.491365,0.366607,0.565623,2.098992,0
0.550816,0.569658,0.238497,0.41557,0.48466,0.678168,0.962314,0.607459,0.565959,0.068512,2.377799,0
0.733373,0.805813,0.300241,0.153229,0.318099,0.287172,0.505557,0.902376,0.226948,0.319765,1.478957,0
0.364875,0.449181,0.386569,0.070654,0.483863,0.285152,0.554674,0.398957,0.272002,0.54368,3.133452,0
0.787073,0.339507,0.098418,0.110578,0.484957,0.670976,0.099646,0.755938,0.041669,0.329317,4.158001,0
0.705154,0.515345,0.404455,0.682116,0.317927,0.403484,0.355214,0.07657,0.91664,0.969003,0.159576,1
0.399674,0.313333,0.191468,0.995602,0.075395,0.167533,0.725176,0.028256,0.904877,0.269844,1.334661,0
0.328778,0.775661,0.541266,0.063401,0.584906,0.515103,0.329672,0.795794,0.918137,0.129598,0.792948,1
0.414127,0.231297,0.411895,0.716809,0.412788,0.723692,0.096183,0.550079,0.175193,0.47417,1.894581,1
0.443735,0.859623,0.67811,0.989653,0.091149,0.936516,0.030116,0.163294,0.485696,0.10091,4.966144,0
0.195912,0.684991,0.648982,0.438837,0.529161,0.605052,0.107762,0.155764,0.919422,0.718599,2.447468,0
0.917375,0.326957,0.17246,0.537499,0.751392,0.65085,0.835201,0.230067,0.738439,0.939438,0.656702,1
0.437765,0.512585,0.012924,0.209883,0.499321,0.092045,0.0081,0.136406,0.578879,0.225347,2.058765,0
