@relation dataBool1000Sev2Sp1Train

@attribute color {r,b,g}
@attribute shape {c,r,t}
@attribute size {l,m,s}
@attribute class numeric

@data

r,c,l,0
r,c,m,0
r,r,l,1
r,t,l,0
r,t,s,0
b,c,s,0
r,r,l,1
b,t,s,0
b,t,s,0
g,c,m,0
g,c,s,0
r,c,s,0
r,r,s,1
b,c,l,0
g,c,l,0
r,t,s,0
g,r,s,0
r,t,m,0
g,t,l,0
g,c,s,0
b,c,m,0
r,r,m,1
r,t,m,0
g,c,s,0
g,c,s,0
b,r,m,0
r,r,l,1
b,c,s,0
b,t,m,0
r,c,l,0
r,r,s,1
b,t,m,0
r,t,l,0
g,t,l,0
g,c,m,0
b,c,m,0
g,c,s,0
r,t,l,0
r,c,s,0
b,t,m,0
r,c,s,0
r,c,m,0
r,t,m,0
g,t,m,0
b,t,m,0
b,r,m,0
b,r,l,0
g,r,m,0
b,c,m,0
g,c,m,0
g,t,s,0
g,c,m,0
g,r,l,0
g,r,l,0
r,t,s,0
r,c,l,0
b,t,s,0
b,t,l,0
g,c,l,0
r,t,s,0
b,c,l,0
g,t,s,0
g,r,m,0
g,r,m,0
b,t,l,0
g,t,s,0
b,c,s,0
g,r,s,0
g,r,m,0
b,r,m,0
g,r,l,0
g,r,l,0
r,r,s,1
g,c,s,0
g,r,l,0
b,r,m,0
r,r,l,1
g,t,m,0
b,c,s,0
r,c,m,0
g,c,s,0
r,c,s,0
r,r,m,1
r,c,s,0
b,r,s,0
b,c,m,0
r,r,m,1
g,c,m,0
g,r,s,0
r,c,l,0
g,t,l,0
g,c,s,0
g,c,m,0
b,c,s,0
b,c,l,0
r,t,m,0
g,r,s,0
r,c,m,0
r,c,m,0
b,r,s,0
b,t,m,0
b,c,m,0
g,c,l,0
b,c,s,0
r,c,s,0
r,r,l,1
g,t,m,0
g,c,l,0
r,c,s,0
b,r,s,0
r,r,m,1
g,c,l,0
g,r,l,0
r,r,l,1
b,r,m,0
g,t,s,0
g,r,s,0
r,r,m,1
b,t,s,0
b,r,m,0
b,t,s,0
g,r,s,0
g,r,l,0
g,r,s,0
r,t,l,0
g,r,s,0
r,r,s,1
r,r,s,1
b,t,s,0
b,t,m,0
r,c,s,0
r,r,s,1
r,r,l,1
b,t,l,0
g,c,m,0
r,c,l,0
b,t,s,0
b,r,s,0
g,t,s,0
g,r,s,0
g,c,s,0
b,r,m,0
r,t,m,0
r,t,l,0
g,c,m,0
r,c,l,0
r,t,s,0
b,t,m,0
g,r,l,0
b,r,m,0
b,r,l,0
g,c,m,0
r,t,s,0
g,c,m,0
g,t,s,0
r,r,l,1
r,c,l,0
r,c,s,0
r,r,s,1
b,t,s,0
g,t,m,0
r,t,l,0
r,t,s,0
r,r,l,1
b,r,m,0
b,t,m,0
g,t,m,0
b,r,m,0
g,t,s,0
b,r,l,0
b,c,m,0
b,r,s,0
r,r,l,1
b,c,s,0
r,t,m,0
b,c,s,0
b,t,m,0
r,c,l,0
b,c,l,0
r,r,m,1
b,c,s,0
r,r,m,1
b,r,m,0
b,t,s,0
b,c,m,0
r,c,s,0
g,r,s,0
r,c,s,0
g,r,s,0
g,t,m,0
b,r,l,0
r,t,s,0
g,t,s,0
r,c,s,0
g,t,l,0
b,t,l,0
g,c,l,0
g,t,l,0
r,t,m,0
g,c,m,0
b,r,s,0
b,r,s,0
g,t,m,0
g,c,s,0
r,c,s,0
r,c,m,0
r,r,m,1
g,r,s,0
b,c,l,0
g,c,m,0
b,c,s,0
r,t,l,0
b,c,l,0
b,r,m,0
g,c,l,0
b,r,l,0
b,c,l,0
g,c,s,0
g,t,m,0
b,c,m,0
r,r,l,1
g,t,l,0
r,r,l,1
r,c,l,0
g,r,s,0
g,r,l,0
g,r,m,0
g,t,m,0
g,t,s,0
b,c,m,0
g,t,m,0
g,t,s,0
g,t,l,0
b,t,m,0
r,t,l,0
b,r,s,0
r,r,m,1
b,r,s,0
r,t,m,0
g,r,m,0
r,t,m,0
r,t,m,0
b,t,s,0
r,t,l,0
r,c,s,0
r,c,l,0
g,t,l,0
r,t,m,0
r,c,l,0
r,t,s,0
r,c,s,0
r,c,s,0
b,r,s,0
r,c,m,0
r,t,m,0
r,c,l,0
r,r,m,1
r,t,l,0
g,c,s,0
g,r,m,0
g,t,l,0
b,c,s,0
b,r,s,0
g,r,l,0
r,c,m,0
g,t,m,0
r,r,l,1
b,t,l,0
r,r,m,1
b,t,l,0
r,c,l,0
r,t,m,0
r,r,m,1
r,r,s,1
g,r,m,0
r,r,m,1
g,c,m,0
g,t,s,0
g,c,m,0
g,c,s,0
g,r,l,0
r,r,l,1
b,t,l,0
r,c,m,0
b,t,s,0
r,t,s,0
b,r,l,0
g,t,s,0
g,c,m,0
g,c,m,0
r,c,m,0
g,r,m,0
b,t,s,0
r,r,m,1
b,c,s,0
r,c,l,0
g,r,s,0
g,r,m,0
g,t,s,0
r,c,l,0
g,r,s,0
b,c,s,0
g,r,s,0
r,t,l,0
g,c,m,0
g,c,l,0
r,c,l,0
b,r,m,0
g,t,m,0
g,r,m,0
r,r,m,1
r,t,l,0
g,c,s,0
b,t,l,0
g,c,s,0
b,c,m,0
b,t,l,0
r,c,s,0
r,c,m,0
g,t,l,0
g,t,s,0
g,r,s,0
b,t,s,0
b,t,s,0
r,c,m,0
b,c,l,0
r,c,m,0
r,r,m,1
r,t,l,0
g,r,m,0
b,t,m,0
g,c,l,0
b,t,l,0
g,c,l,0
g,t,l,0
g,r,l,0
g,t,s,0
r,c,l,0
g,c,s,0
r,c,m,0
b,t,l,0
g,t,m,0
b,r,l,0
b,t,l,0
g,t,m,0
g,c,l,0
b,t,m,0
r,t,m,0
r,t,l,0
b,c,s,0
g,t,s,0
g,t,m,0
r,r,s,1
b,r,l,0
g,c,m,0
r,t,m,0
g,t,l,0
g,c,m,0
b,r,m,0
g,c,s,0
g,r,l,0
b,t,m,0
b,c,l,0
g,c,m,0
g,t,m,0
b,r,l,0
b,r,s,0
b,r,s,0
b,r,s,0
g,r,m,0
b,t,m,0
r,c,l,0
g,r,s,0
b,r,s,0
r,t,s,0
g,r,l,0
g,r,s,0
g,t,s,0
r,t,m,0
r,c,m,0
b,t,m,0
g,c,s,0
r,r,s,1
g,t,s,0
g,r,m,0
b,r,s,0
g,c,m,0
r,r,m,1
g,t,m,0
b,t,l,0
r,t,s,0
g,r,m,0
g,r,s,0
b,t,s,0
b,r,l,0
b,t,l,0
r,t,s,0
r,t,m,0
b,c,m,0
r,t,l,0
g,t,l,0
g,c,m,0
r,r,m,1
g,c,s,0
r,t,s,0
b,t,m,0
g,r,l,0
r,r,l,1
b,c,s,0
r,c,l,0
g,r,s,0
g,t,m,0
g,c,m,0
r,c,l,0
g,r,s,0
g,c,l,0
g,t,l,0
b,r,s,0
r,r,s,1
r,r,l,1
b,c,l,0
r,r,s,1
b,t,m,0
b,t,s,0
g,c,l,0
r,r,s,1
r,c,s,0
g,r,m,0
g,t,m,0
g,r,m,0
r,t,m,0
r,r,m,1
r,t,s,0
b,c,s,0
g,t,s,0
b,r,l,0
b,c,l,0
r,r,l,1
b,t,m,0
r,c,s,0
r,t,m,0
g,t,m,0
b,t,s,0
g,r,s,0
b,c,s,0
b,t,m,0
b,t,m,0
g,c,s,0
b,c,s,0
g,c,l,0
r,c,m,0
b,c,s,0
r,t,m,0
b,t,m,0
r,c,m,0
b,c,m,0
b,c,m,0
b,r,s,0
b,r,m,0
r,r,l,1
r,r,m,1
b,c,s,0
r,t,m,0
r,c,m,0
b,c,s,0
b,r,m,0
g,t,s,0
b,r,m,0
b,r,m,0
b,r,m,0
r,r,m,1
r,c,m,0
r,c,s,0
g,c,l,0
r,c,l,0
g,t,m,0
r,r,s,1
b,r,s,0
g,t,s,0
r,c,l,0
r,c,s,0
b,r,m,0
g,t,s,0
b,r,l,0
b,t,m,0
r,r,s,1
g,t,l,0
g,r,s,0
r,t,s,0
b,c,m,0
g,t,s,0
r,t,l,0
b,r,s,0
g,r,m,0
g,c,s,0
g,c,l,0
g,t,l,0
b,r,l,0
g,c,l,0
g,c,m,0
r,c,l,1
r,t,l,1
g,t,s,0
r,t,l,1
b,t,l,0
r,t,l,1
r,r,s,1
r,r,s,1
g,r,s,1
r,c,m,1
g,r,l,1
r,t,l,1
r,t,s,1
g,t,s,0
b,t,s,0
r,r,l,1
b,r,m,1
r,c,s,1
b,r,s,1
b,t,m,0
r,c,m,1
b,c,m,0
g,t,s,0
r,c,m,1
g,c,m,0
r,r,s,1
r,r,m,1
r,t,l,1
r,r,s,1
g,t,s,0
g,r,s,1
b,c,s,0
b,r,s,1
b,t,s,0
g,r,s,1
g,t,s,0
g,c,s,0
r,c,m,1
b,r,l,1
b,c,l,0
g,r,m,1
b,t,s,0
g,t,s,0
r,c,l,1
b,t,s,0
g,r,l,1
b,c,m,0
g,t,s,0
b,r,m,1
r,t,m,1
r,r,l,1
g,c,m,0
g,t,l,0
r,c,m,1
r,r,l,1
r,t,s,1
b,c,m,0
b,r,l,1
b,c,s,0
r,c,m,1
g,c,s,0
b,t,l,0
r,c,s,1
r,r,l,1
r,r,m,1
r,c,m,1
g,r,l,1
b,t,m,0
b,t,m,0
g,r,m,1
r,c,s,1
r,t,s,1
g,r,s,1
r,r,l,1
g,c,m,0
r,c,m,1
b,t,s,0
g,c,m,0
r,r,m,1
r,t,s,1
g,c,m,0
b,t,m,0
r,r,l,1
b,r,m,1
g,r,s,1
r,r,s,1
g,r,m,1
g,r,m,1
b,r,m,1
g,r,l,1
b,c,l,0
r,c,m,1
b,c,s,0
b,c,s,0
r,r,m,1
r,t,m,1
r,c,s,1
b,c,m,0
g,c,s,0
b,r,l,1
r,r,l,1
r,t,l,1
b,c,s,0
g,t,s,0
r,t,s,1
b,r,m,1
b,c,m,0
g,t,l,0
g,t,s,0
b,t,m,0
g,t,m,0
g,r,l,1
r,c,s,1
g,r,m,1
r,t,s,1
b,c,l,0
g,r,s,1
r,c,m,1
g,c,s,0
r,c,s,1
g,r,l,1
g,t,m,0
r,r,s,1
b,t,m,0
b,r,l,1
r,c,s,1
g,c,m,0
g,c,s,0
r,t,s,1
g,c,l,0
g,t,s,0
b,c,s,0
b,t,s,0
g,c,s,0
g,t,l,0
b,t,s,0
r,r,l,1
b,r,s,1
g,t,s,0
g,r,m,1
r,c,s,1
g,r,l,1
r,c,s,1
r,t,s,1
g,t,l,0
r,c,l,1
b,r,l,1
b,t,s,0
r,r,s,1
g,t,s,0
b,c,m,0
r,t,l,1
g,t,s,0
r,r,m,1
b,c,s,0
b,r,m,1
b,c,l,0
r,t,m,1
r,t,m,1
g,t,s,0
r,t,s,1
b,c,s,0
r,r,s,1
r,c,s,1
b,c,m,0
b,t,s,0
g,c,s,0
g,t,s,0
r,c,m,1
b,c,s,0
g,t,m,0
r,c,l,1
g,r,s,1
r,c,m,1
r,c,l,1
b,c,l,0
r,c,l,1
b,t,l,0
g,c,s,0
b,t,m,0
r,c,s,1
g,r,s,1
b,t,s,0
r,r,l,1
r,r,l,1
r,c,m,1
