@relation dataSineSev1Sp3Train

@attribute x numeric
@attribute y numeric
@attribute class numeric

@data

5.129089,2.986289,0
3.503954,-9.144588,1
4.33671,6.220058,0
1.159682,-9.297238,1
1.921504,3.127678,0
1.449228,-3.53948,1
6.617143,2.614315,0
4.460349,-5.425016,1
5.280879,4.447414,0
3.608221,-6.971705,1
3.933364,7.456783,0
0.110807,-7.901981,1
9.338506,-0.051632,0
7.85947,-6.303441,1
1.193928,5.246814,0
8.623882,-8.575807,1
6.011851,-1.471105,0
6.260984,-2.483878,1
9.404067,2.402245,0
2.720252,-1.647986,1
9.21315,4.046324,0
8.128855,-8.502595,1
3.203819,5.55245,0
0.017629,-4.339438,1
7.852856,0.83092,0
7.896838,-8.057022,1
4.032131,7.431142,0
8.621493,-8.706069,1
3.450593,2.361589,0
7.101293,-8.714512,1
5.774532,0.328351,0
0.464254,-7.56101,1
6.778854,-0.147889,0
3.401642,-8.741685,1
8.328637,9.218411,0
0.622541,-7.264391,1
5.986866,-1.372711,0
8.345895,-1.492702,1
9.056707,4.886046,0
4.440267,-3.183085,1
2.097698,4.809492,0
4.715576,-5.782654,1
6.59553,-1.602204,0
1.352951,-1.851849,1
2.197446,0.217804,0
1.253788,-7.828596,1
9.767538,0.919843,0
7.533428,-6.106042,1
7.499782,8.497263,0
1.92418,-1.272853,1
4.617249,-0.25899,0
7.047893,-6.462265,1
5.227648,-1.606789,0
2.070787,-6.655792,1
1.231575,8.804594,0
2.324437,-3.870692,1
1.42703,2.315081,0
5.818482,-8.890267,1
3.645943,6.578895,0
0.374127,-2.849482,1
1.942804,0.523869,0
8.200344,-7.137608,1
3.584641,6.171047,0
7.524227,-1.290757,1
0.28305,6.397764,0
8.625362,-4.182232,1
3.578671,5.747053,0
5.933397,-7.653005,1
8.828425,9.142435,0
3.005414,-8.200559,1
3.561783,0.763561,0
7.047261,-7.019695,1
5.54905,0.741626,0
3.466284,-2.949076,1
2.080422,4.34767,0
4.075202,-8.273278,1
5.574722,2.650397,0
0.934262,-8.07459,1
5.958871,-2.032418,0
9.344613,-5.586753,1
4.936202,0.576274,0
6.910123,-2.401262,1
2.218039,8.161705,0
3.673783,-5.251947,1
4.143478,9.270596,0
9.924563,-8.07851,1
2.758683,3.735345,0
7.654016,-9.057947,1
2.309341,1.03269,0
6.479636,-7.081892,1
4.040405,6.221485,0
9.617235,-3.817317,1
8.172287,-0.875268,0
9.518872,-6.688494,1
0.531216,7.59412,0
5.67474,-5.18443,1
8.089859,5.146935,0
6.459077,-3.063943,1
7.017083,4.942456,0
3.735791,-3.304182,1
0.683249,1.368662,0
0.073487,-5.42043,1
0.930707,0.117104,0
9.352993,-4.828591,1
3.187092,4.093532,0
8.452061,-6.589984,1
0.152181,7.02441,0
0.199036,-5.329185,1
4.865987,0.434435,0
1.962446,-7.448936,1
9.695877,8.19012,0
1.0398,-4.678375,1
8.393956,6.388785,0
2.539332,-2.309724,1
1.628255,4.916641,0
9.986379,-9.042483,1
1.090393,5.101257,0
6.79249,-8.761946,1
9.967041,4.879822,0
3.977287,-4.366835,1
6.224157,9.238844,0
9.420069,-7.208462,1
0.425783,4.972195,0
8.211581,-8.160936,1
3.503752,6.827791,0
8.220753,-4.421244,1
4.004236,8.956362,0
7.360215,-7.181472,1
4.44592,0.345322,0
9.862272,-5.318373,1
6.784905,2.068914,0
3.26612,-6.686995,1
8.523008,5.063115,0
3.670102,-6.928777,1
3.391188,4.400502,0
7.108196,-3.295759,1
4.392697,7.465404,0
1.567149,-1.835208,1
2.960577,7.947578,0
5.347197,-9.689967,1
9.689238,6.13775,0
7.047934,-5.838754,1
8.952654,6.431268,0
1.780465,-6.155522,1
3.498749,1.51085,0
8.348316,-9.864449,1
1.339586,2.738515,0
0.164285,-8.973135,1
6.141706,1.754062,0
2.707057,-3.239327,1
1.81757,7.267952,0
8.817669,-2.287786,1
1.320842,9.21072,0
1.259619,-9.63184,1
5.189593,-1.060247,0
8.016783,-2.742309,1
3.349144,8.787752,0
7.492151,-9.481424,1
4.122122,-2.341727,0
0.461631,-2.234128,1
3.340916,-1.98964,0
2.398596,-7.110886,1
2.607562,3.893134,0
7.620643,-9.874355,1
6.355443,4.719806,0
5.21283,-8.167314,1
4.39056,-0.218873,0
5.687766,-6.152219,1
5.176252,6.441949,0
9.879098,-2.795711,1
6.090477,0.435527,0
6.082625,-9.386985,1
7.706075,4.803638,0
9.034194,-3.072064,1
5.349638,-1.222872,0
5.528814,-7.503626,1
8.406421,5.735846,0
1.044528,-5.163149,1
5.503107,-2.055488,0
1.088254,-9.739708,1
0.81582,-1.063666,0
3.822684,-2.933867,1
6.103667,2.628419,0
6.800587,-3.282711,1
1.64239,1.739615,0
5.931224,-4.518919,1
4.37756,1.753687,0
7.855648,-1.119029,1
7.190448,9.811042,0
7.062542,-9.866164,1
9.304143,3.15182,0
3.567104,-7.916083,1
5.991824,2.964854,0
6.390845,-9.160981,1
8.218451,6.760734,0
1.268942,-3.595751,1
5.798561,5.333004,0
2.916275,-6.546317,1
5.620257,9.550713,0
1.408828,-2.650105,1
5.202114,-0.499089,0
2.926238,-8.850946,1
7.944239,8.464395,0
6.993731,-6.728,1
2.774213,5.065491,0
1.433221,-2.673907,1
0.711846,2.189105,0
7.149866,-2.989202,1
2.756359,4.952868,0
8.353569,-2.416361,1
0.251877,1.290863,0
4.251284,-8.801906,1
3.733689,-0.25069,0
6.01104,-3.213125,1
1.126481,0.586594,0
9.14423,-3.632902,1
2.025831,7.59454,0
1.103423,-5.300199,1
6.165547,2.647694,0
8.486668,-5.113955,1
4.176027,5.436898,0
6.116821,-5.129093,1
1.485926,2.147032,0
3.202019,-4.302535,1
6.989479,-0.182048,0
1.784982,-9.823922,1
8.158415,8.024994,0
6.210612,-8.416801,1
5.354114,5.56488,0
0.725861,-1.415077,1
8.659873,5.431545,0
6.903307,-6.505514,1
7.590402,-0.539005,0
6.878223,-7.928623,1
1.810186,1.929102,0
5.711433,-8.145718,1
7.680863,-0.048671,0
